860,372,1660,372,1660,422,860,422
1035,531,1490,531,1490,619,1035,619
252,712,734,712,734,772,252,772
252,789,422,789,422,849,252,849
252,877,2285,877,2285,942,252,942
438,953,866,953,866,1014,438,1014
465,1046,1151,1046,1151,1101,465,1101
1945,1046,2296,1046,2296,1101,1945,1101
230,1123,1699,1123,1699,1183,230,1183
1200,1216,1425,1216,1425,1260,1200,1260
433,1288,1732,1288,1732,1342,433,1342
504,1364,2093,1364,2093,1425,504,1425
433,1447,707,1447,707,1501,433,1501
537,1529,1781,1529,1781,1584,537,1584
537,1606,1726,1606,1726,1660,537,1660
537,1682,1754,1682,1754,1743,537,1743
482,1764,1956,1764,1956,1825,482,1825
509,1847,1759,1847,1759,1901,509,1901
427,1923,1090,1923,1090,1978,427,1978
433,2006,1359,2006,1359,2060,433,2060
1562,2006,2011,2006,2011,2060,1562,2060
433,2088,2208,2088,2208,2143,433,2143
783,2165,1183,2165,1183,2219,783,2219
235,2247,1244,2247,1244,2302,235,2302
482,2324,1041,2324,1041,2384,482,2384
1611,2598,1770,2598,1770,2636,1611,2636
575,2636,970,2636,970,2685,575,2685
1074,2636,1474,2636,1474,2685,1074,2685
250,2639,487,2632,489,2680,252,2687
1611,2641,1726,2641,1726,2685,1611,2685
251,2921,1205,2915,1206,2962,252,2968
1606,2910,1732,2910,1732,2959,1606,2959
1277,2921,1479,2921,1479,2959,1277,2959
252,3025,712,3025,712,3074,252,3074
1266,3020,1348,3020,1348,3069,1266,3069
805,3025,1057,3025,1057,3069,805,3069
252,3107,471,3107,471,3146,252,3146
553,3096,986,3096,986,3146,553,3146
246,3162,613,3162,613,3212,246,3212
729,3163,1622,3169,1622,3218,728,3211
959,3239,1562,3239,1562,3288,959,3288
